"survey_uuid","latitude","longitude","Country","biodiversity"
"1296b7ae-46d9-4c95-8b79-d97fb338b5fa",-8.05761,31.55781,"TZA",0
"12f78a0b-30ba-4b76-860e-a8899fa7ac30",-7.26806,39.13985,"TZA",1.88500220144236
"133f493e-89c1-45f7-9542-4396b4cb1f0e",-7.67943,32.60401,"TZA",2.28368677567471
"1358217b-9877-4560-9652-c363aee5c440",-6.83475,33.22683,"TZA",2.44505884036993
"1391a6d8-84d1-4e7e-839f-dd728ee2ec72",-7.79205,38.80814,"TZA",2.93694292278891
"13abc934-f1c3-48b6-a3a4-cda3cec67bb5",-9.57791,33.82963,"TZA",0.867602317735471
"13ad13d0-1eeb-4b87-b9fb-76c4aee4f842",-8.13451,36.49421,"TZA",1.05669058382374
"13be87fc-b3be-4118-8f64-ca171a6255be",-7.30459,34.06875,"TZA",2.06700887504234
"13f3e4d5-5424-4e1d-ba77-5e7d239d9983",-9.41248,33.19536,"TZA",0
"147f7f44-89ed-4380-a556-6633b880df6c",-9.2,33.30899,"TZA",0
"148b5134-ecc1-4236-9dc7-b14df1eb9d4a",-9.04587,34.82549,"TZA",0
"15d334b4-fdbb-4714-a5e0-b870e499c2a4",-6.33537,36.4856,"TZA",0.101199488361752
"16689846-615a-4568-8b77-3b8706fd7eb2",-7.59451,35.07848,"TZA",2.126803474018
"17866ce7-45a6-45e5-aa78-531aa943edb0",-7.05502,35.43904,"TZA",1.82546034625296
"17af2d82-35a8-407a-ae45-8062fa731c4b",-7.53943,36.49873,"TZA",1.49925289946144
"1811cb7e-a016-47c5-ac71-5deff59a52b6",-7.05817,37.24189,"TZA",2.70125357261488
"1889551c-41e5-4c61-af7b-883a783adcbe",-9.50603,34.59043,"TZA",0.933229122038968
"18932927-51ae-46d1-a2ab-8fbe1e40b65b",-7.56419,36.47226,"TZA",1.68105706919299
"195014f0-7580-4204-8d06-00e8b225ace9",-6.88665,35.45153,"TZA",1.46966631292868
"195f86ee-6a4d-4d66-8be1-e5e97b22ad76",-9.51456,35.13316,"TZA",1.40668172298382
"1aa509ba-4444-46ff-bd0a-6528da69fa3b",-7.25264,37.0933,"TZA",0
"1b220884-9eaf-4e33-9586-49a341122cd6",-6.40322,38.30596,"TZA",0.786261742855272
"1b46c4d1-a324-45a4-b897-6cd9f80dd9f3",-9.29272,33.71231,"TZA",1.06241916507095
"1b7634e4-4b33-47e5-a986-451ffcc733db",-6.28529,36.70847,"TZA",0.581547395945343
"1e270ef0-aa16-4616-ba1c-b596c3a38794",-8.52239,31.21026,"TZA",1.94473598897857
"1e5a603d-f0ee-4205-8f5d-d8a3506a9a13",-8.09468,36.5624,"TZA",2.47595888056975
"1ed32ed5-d2b0-4eb7-8d3e-7b6300cfcb5e",-7.5908,33.38203,"TZA",1.72054320630798
"202228e5-7bed-41e2-bfad-93bb8172792f",-7.34998,31.7353,"TZA",1.84732606953034
"20756fd3-98ab-42f8-ace5-d6451aa615ff",-7.35247,37.16265,"TZA",0.530655430853834
"20f2f84b-2480-4689-9205-1277f262996d",-8.5184,35.0777,"TZA",2.02463329878486
"20fa6546-1f96-4423-b2c6-c94f9e996081",-9.07563,32.91542,"TZA",0
"2184c863-907e-4709-b22f-012565f6ca95",-7.88976,38.36082,"TZA",1.20744016605323
"21e1b60d-e039-4aa0-b7cc-1cf296c0d3d5",-6.64063,37.97661,"TZA",1.44780745024088
"21f78fdc-1c6f-4db4-962e-51facd97b6a4",-8.06147,36.52455,"TZA",2.8906960500088
